id,src_path,correct_label,incorrect_label_1,incorrect_label_2,ai_decision,ai_accuracy,ai_confidence
1,https://storage.googleapis.com/ai-calibration/newyork/newyork-14.jpg,New York,San Francisco,Chicago,New York,60,72
2,https://storage.googleapis.com/ai-calibration-experiment/newyork/newyork-14.jpg,New York,San Francisco,Chicago,New York,60,72
3,https://storage.googleapis.com/ai-calibration/sanfrancisco/sanfrancisco-8.jpg,San Francisco,New York,Chicago,New York,60,76
4,https://storage.googleapis.com/ai-calibration-experiment/sanfrancisco/sanfrancisco-8.jpg,San Francisco,New York,Chicago,New York,60,76
5,https://storage.googleapis.com/ai-calibration/newyork/newyork-36.jpg,New York,San Francisco,Chicago,New York,60,70
6,https://storage.googleapis.com/ai-calibration-experiment/newyork/newyork-36.jpg,New York,San Francisco,Chicago,New York,60,70
7,https://storage.googleapis.com/ai-calibration/chicago/chicago-37.jpg,Chicago,New York,San Francisco,Chicago,60,79
8,https://storage.googleapis.com/ai-calibration-experiment/chicago/chicago-37.jpg,Chicago,New York,San Francisco,Chicago,60,79
9,https://storage.googleapis.com/ai-calibration/sanfrancisco/sanfrancisco-29.jpg,San Francisco,New York,Chicago,San Francisco,60,78
10,https://storage.googleapis.com/ai-calibration-experiment/sanfrancisco/sanfrancisco-29.jpg,San Francisco,New York,Chicago,San Francisco,60,78
11,https://storage.googleapis.com/ai-calibration/chicago/chicago-30.jpg,Chicago,New York,San Francisco,New York,60,73
12,https://storage.googleapis.com/ai-calibration-experiment/chicago/chicago-30.jpg,Chicago,New York,San Francisco,New York,60,73
13,https://storage.googleapis.com/ai-calibration/newyork/newyork-25.jpg,New York,San Francisco,Chicago,Chicago,60,75
14,https://storage.googleapis.com/ai-calibration-experiment/newyork/newyork-25.jpg,New York,San Francisco,Chicago,Chicago,60,75
15,https://storage.googleapis.com/ai-calibration/sanfrancisco/sanfrancisco-39.jpg,San Francisco,New York,Chicago,San Francisco,60,74
16,https://storage.googleapis.com/ai-calibration-experiment/sanfrancisco/sanfrancisco-39.jpg,San Francisco,New York,Chicago,San Francisco,60,74
17,https://storage.googleapis.com/ai-calibration/chicago/chicago-8.jpg,Chicago,New York,San Francisco,Chicago,60,77
